# Namespace(base_learning_rate=0.1, batch_size=32, cudnn_workspace_limit_mb=64, db_type='lmdb', epoch_size=49984, file_store_path='/tmp', gpus='0', image_size=227, load_model_path=None, num_channels=3, num_epochs=1000000, num_gpus=1, num_labels=1000, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='resnet50_model', shard_id=0, test_data=None, train_data='/mnt/nas101/hiroki11x/ilsvrc12_train_lmdb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
466.192424059,466.192466974,0,0,1561,0.0,0.0,0,0.10000000149,6.90369606018,-1
470.445582867,936.638030052,49984,49984,3123,106.2482077,0.0,1,0.10000000149,6.63431167603,-1
471.549313068,1408.18733907,49984,99968,4685,105.999518215,0.0,2,0.10000000149,6.62031078339,-1
470.597296,1878.78464103,49984,149952,6247,106.213954957,0.0,3,0.10000000149,6.50781154633,-1
471.444277048,2350.22892094,49984,199936,7809,106.023134511,0.0625,4,0.10000000149,5.88304328918,-1
471.710505009,2821.9394269,49984,249920,9371,105.963296279,0.03125,5,0.10000000149,5.95133161545,-1
471.53057003,3293.47000289,49984,299904,10933,106.003731628,0.0625,6,0.10000000149,5.62515068054,-1
471.288544893,3764.75854993,49984,349888,12495,106.058168699,0.03125,7,0.10000000149,5.75313520432,-1
473.832470894,4238.59102607,49984,399872,14057,105.488760417,0.0,8,0.10000000149,5.49841594696,-1
469.995223045,4708.58625007,49984,449856,15619,106.350017083,0.09375,9,0.10000000149,4.64211511612,-1
469.859959126,5178.44621706,49984,499840,17181,106.38063327,0.15625,10,0.10000000149,4.93064403534,-1
470.412366152,5648.85857987,49984,549824,18743,106.255710089,0.09375,11,0.10000000149,4.84245014191,-1
469.015283108,6117.8738749,49984,599808,20305,106.572220139,0.1875,12,0.10000000149,4.43649721146,-1
469.16793704,6587.04180884,49984,649792,21867,106.537544563,0.28125,13,0.10000000149,4.10432863235,-1
469.681341171,7056.72315598,49984,699776,23429,106.421089404,0.1875,14,0.10000000149,4.28176546097,-1
469.41864419,7526.14179993,49984,749760,24991,106.480644982,0.15625,15,0.10000000149,4.43240404129,-1
469.456969023,7995.59877086,49984,799744,26553,106.471952273,0.09375,16,0.10000000149,4.3828368187,-1
470.128961086,8465.72773504,49984,849728,28115,106.319763591,0.15625,17,0.10000000149,4.50223445892,-1
470.362287998,8936.0900259,49984,899712,29677,106.267022836,0.21875,18,0.10000000149,4.28690767288,-1
471.338201046,9407.42823195,49984,949696,31239,106.046995319,0.28125,19,0.10000000149,3.93055510521,-1
470.484879017,9877.91311502,49984,999680,32801,106.239333567,0.1875,20,0.10000000149,3.89059972763,-1
470.832624197,10348.745739,49984,1049664,34363,106.160867857,0.21875,21,0.10000000149,3.75776195526,-1
471.025720119,10819.7714639,49984,1099648,35925,106.11734745,0.125,22,0.10000000149,4.04902410507,-1
470.739624023,11290.5110939,49984,1149632,37487,106.18184119,0.3125,23,0.10000000149,3.69291639328,-1
471.340326071,11761.8514209,49984,1199616,39049,106.046517209,0.3125,24,0.10000000149,3.70704960823,-1
470.911777973,12232.763201,49984,1249600,40611,106.143023679,0.34375,25,0.10000000149,3.24958133698,-1
470.502766848,12703.2659791,49984,1299584,42173,106.235294502,0.28125,26,0.10000000149,3.18400335312,-1
470.603258133,13173.8692329,49984,1349568,43735,106.212609318,0.1875,27,0.10000000149,4.03898572922,-1
471.499612093,13645.368849,49984,1399552,45297,106.01069167,0.3125,28,0.10000000149,3.52340435982,-1
470.63065505,14115.999507,49984,1449536,46859,106.206426342,0.21875,29,0.0100000007078,4.0001206398,-1
471.450603962,14587.4501131,49984,1499520,48421,106.02171167,0.40625,30,0.0100000007078,3.02793431282,-1
471.153311014,15058.6034269,49984,1549504,49983,106.088610292,0.25,31,0.0100000007078,4.10926055908,-1
471.630499125,15530.2339289,49984,1599488,51545,105.981271552,0.28125,32,0.0100000007078,2.86676335335,-1
470.651726007,16000.8856568,49984,1649472,53107,106.201671508,0.3125,33,0.0100000007078,2.97652840614,-1
